accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
Iberdrola,Chronos2,0.0,0.0,40.15575623512268,0.0014227911652756999,5
Iberdrola,DeepAR,1925.8178384304047,0.0067350828905907,121.83934140205383,0.001662947750351,5
Iberdrola,HistGradientBoostingRegressor,455.1576313972473,0.0015770855800513,1.694284200668335,0.0008896640997258,5
Iberdrola,KNeighborsRegressor,66.80456733703613,0.0004912204286045441,1.7334232330322266,0.000886181768314,5
Iberdrola,Lasso,83.58149766921997,0.0006352760274095,0.2298755645751952,0.0008814773448981,5
Iberdrola,LinearRegression,55.78637075424194,0.00041365031309986873,0.217687129974365,0.0008763783804595,5
Iberdrola,PatchTST,1341.478933095932,0.0044412243964024,162.70472836494446,0.0017898669678484001,5
Iberdrola,RandomForestRegressor,1072.2721753120422,0.0029427114516465,3.38395357131958,0.0008877290463638,5
Iberdrola,Ridge,59.72990703582764,0.0004619930963381786,0.2240169048309323,0.0008871222632226,5
Iberdrola,TemporalFusionTransformer,3415.7946770191193,0.011491196529514299,154.56802678108215,0.0017679830638249999,5
