Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.21639710272253093,0.26496629009017375,1.9137103024666053,1.8933097622402897,1.9010785449462095,0.4807692307692308,-3.292355446338654,0.5051537325287306,-4.000829045954114,False,0.5862360043730466,10,43,10,40,1.10629447377918,1.079771233801699,116.85717894524464,87.69826889038109,29.158910054863554,1.106294473779179,1.079771233801699,1062.9447377917913,797.7123380169887,265.2323997748026
pred_PatchTST,0.1330946432159255,0.17731010651191242,1.1737393163357497,1.1684048966459846,1.169254890577249,0.46153846153846156,-2.6532742300033516,0.5446233919178083,-3.4546299066910957,False,0.81471578220003,6,47,8,42,1.045407300741921,1.079771233801699,49.91951960966867,87.69826889038109,-37.77874928071242,1.0454073007419213,1.079771233801699,454.07300741921426,797.7123380169887,-343.63933059777446
pred_DeepAR,0.2435870761375266,0.3169882302886438,2.1122874912263794,2.1462075101705267,2.1399462305417254,0.49038461538461536,-3.9691186037063635,0.5055988251728839,-3.4189307368568387,False,0.4078145650469194,43,10,42,8,1.0034412443964498,1.079771233801699,3.783208081594694,87.69826889038109,-83.9150608087864,1.0034412443964495,1.079771233801699,34.41244396449656,797.7123380169887,-763.2998940524922
pred_Chronos2,0.12140591103550918,0.17275697880177723,1.064578958718634,1.0639165783548215,1.0665677580498587,0.5288461538461539,-0.7400661835670419,0.6662867126465494,-2.2357577585793416,False,0.8241093928972099,26,27,21,29,1.0949860614853286,1.079771233801699,104.42502596470058,87.69826889038109,16.726757074319494,1.094986061485328,1.079771233801699,949.8606148532799,797.7123380169887,152.1482768362912
pred_KNeighborsRegressor,0.4485973358154299,0.5854353662432445,3.8324031228510744,3.9561733500436076,3.9409897808671053,0.5769230769230769,-3.4409740238189714,0.5898400276252211,-2.6592527545873366,False,-1.019897615095291,49,4,39,11,1.1301944720339159,1.079771233801699,143.1321702363889,87.69826889038109,55.433901346007815,1.1301944720339168,1.079771233801699,1301.9447203391683,797.7123380169887,504.23238232217955
pred_HistGradientBoostingRegressor,0.6854889839029725,0.7988547538765314,5.902902201488775,6.144014441906116,6.022115747852085,0.5192307692307693,-5.043501460552221,0.4660004332923463,-3.849726672942952,False,-2.761032575192015,53,0,49,1,1.0348836578592553,1.079771233801699,38.350120225367164,87.69826889038109,-49.34814866501392,1.0348836578592555,1.079771233801699,348.83657859255436,797.7123380169887,-448.87575942443436
pred_RandomForestRegressor,0.6385478412475449,0.7578364402956407,5.48950020125922,5.705219763651144,5.609731302520963,0.5384615384615384,-4.47371737337113,0.5127390163777804,-3.396674685418097,False,-2.38471741322842,53,0,47,3,1.0709571466042338,1.079771233801699,78.00830733120438,87.69826889038109,-9.689961559176709,1.070957146604234,1.079771233801699,709.57146604234,797.7123380169887,-88.14087197464869
pred_LinearRegression,0.7529742734973345,0.9144639052376984,6.656156506038823,6.436500552600506,6.614983371924787,0.5096153846153846,-4.547637766838072,0.49986856415452646,-3.523163081530178,False,-3.928384503136141,19,34,16,34,1.053902173052384,1.079771233801699,59.25854522790587,87.69826889038109,-28.439723662475217,1.0539021730523856,1.079771233801699,539.0217305238566,797.7123380169887,-258.6906074931321
pred_Ridge,0.45977599331272934,0.5446770325747997,4.006873068661561,4.031255506367155,4.039195836595436,0.46153846153846156,-5.632645234584807,0.4363331651275921,-4.248298305831932,False,-0.7484353258954843,23,30,25,25,1.0331465390330028,1.079771233801699,36.44038025195846,87.69826889038109,-51.25788863842263,1.0331465390330026,1.079771233801699,331.4653903300259,797.7123380169887,-466.2469476869628
pred_Lasso,0.13528759800441048,0.1834755875047906,1.1818490190545698,1.1880118910248536,1.1885203023871815,0.5096153846153846,-5.372659819126133,0.42502707089822234,-4.260443884710942,False,0.8016062341800223,53,0,50,0,1.0,1.079771233801699,0.0,87.69826889038109,-87.69826889038109,1.0,1.079771233801699,0.0,797.7123380169887,-797.7123380169887
