Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.4441490718351082,0.7363691318687422,4.500401530402218,4.239252640545509,4.363771573121276,0.5327102803738317,-5.33340168571472,0.37204503931552846,-4.220887189684847,False,-0.0430180092467316,11,41,8,46,0.9128409557454286,0.9131154534171522,-99.43358113218164,-99.12042617797852,-0.313154954203128,0.9128409557454285,0.9131154534171521,-871.5904425457156,-868.8454658284791,-2.744976717236568
pred_PatchTST,0.2820910718247556,0.33735877479932286,2.768943361453553,2.7148186459498103,2.771549189946717,0.5046728971962616,-5.724445857524872,0.39781937114648547,-4.048769287792065,False,0.7810803833238834,0,52,0,54,0.9131154534171522,0.9131154534171522,-99.12042617797852,-99.12042617797852,0.0,0.9131154534171532,0.9131154534171521,-868.8454658284681,-868.8454658284791,1.0913936421275139e-11
pred_DeepAR,0.24116415582648396,0.322834711243841,2.418375369859739,2.384539884461457,2.369441600549154,0.42990654205607476,-6.940050525665278,0.27702446364257965,-5.375602666184193,False,0.7995245922534576,19,33,27,27,0.8182836284044668,0.9131154534171522,-207.30733950358137,-99.12042617797852,-108.18691332560286,0.8182836284044668,0.9131154534171521,-1817.163715955332,-868.8454658284791,-948.318250126853
pred_Chronos2,0.11457603757719279,0.1825664074115905,1.1419650651098459,1.1317856600443923,1.1257113600945436,0.5046728971962616,-2.255265511512748,0.2945411763527666,-6.122739365899805,False,0.9358875465900935,22,30,22,32,0.9091820479011294,0.9131154534171522,-103.60776997400353,-99.12042617797852,-4.487343796025016,0.9091820479011292,0.9131154534171521,-908.1795209887077,-868.8454658284791,-39.33405516022867
pred_KNeighborsRegressor,1.1461925434616382,1.319129224235026,11.76116459647174,10.893951033824942,11.261359655251905,0.5607476635514018,-4.593726637363441,0.4659705304466917,-3.3096691437218446,False,-2.3471512786402595,9,43,3,51,0.9656814500518737,0.9131154534171522,-39.15160325346119,-99.12042617797852,59.968822924517326,0.9656814500518727,0.9131154534171521,-343.1854994812729,-868.8454658284791,525.6599663472061
pred_HistGradientBoostingRegressor,0.24542449941355932,0.3510558762024139,2.403974584212123,2.3559929817912293,2.411299542884135,0.5700934579439252,-5.3545575890541155,0.3827740887939259,-4.0033214183733685,False,0.7629427994828284,20,32,13,41,0.8842707610445141,0.9131154534171522,-132.02729297301119,-99.12042617797852,-32.90686679503267,0.8842707610445139,0.9131154534171521,-1157.292389554861,-868.8454658284791,-288.446923726382
pred_RandomForestRegressor,0.19004790835848567,0.27803154624578946,1.8457006588418923,1.8298357974161386,1.867223670195593,0.5420560747663551,-2.5479486889839142,0.6274083217536833,-2.1152099600704846,False,0.8513075876189782,20,32,16,38,1.0557971830997477,0.9131154534171522,63.65505473524013,-99.12042617797852,162.77548091321864,1.055797183099747,0.9131154534171521,557.9718309974705,-868.8454658284791,1426.8172968259496
pred_LinearRegression,1.01420708575677,1.2812486417983662,10.358529117315538,9.550504511894923,9.964600470282294,0.514018691588785,-5.01743791437149,0.4248445373334743,-3.7277247452431683,False,-2.1576754713287456,7,45,6,48,0.9487892733213298,0.9131154534171522,-58.42269140961184,-99.12042617797852,40.69773476836667,0.9487892733213293,0.9131154534171521,-512.1072667867065,-868.8454658284791,356.73819904177253
pred_Ridge,1.1005381174452948,1.2600017756689075,11.229956325801464,10.443551151309372,10.812804206032705,0.5327102803738317,-5.453797074317933,0.40808930424502426,-3.87265348038232,False,-2.053816742678296,5,47,2,52,0.9195833452247425,0.9131154534171522,-91.74166645998775,-99.12042617797852,7.378759717990761,0.9195833452247428,0.9131154534171521,-804.1665477525712,-868.8454658284791,64.67891807590786
pred_Lasso,0.10954443956802257,0.1741696125263834,1.086846451988896,1.0817956836158136,1.0762758310072689,0.5046728971962616,-1.2780886187553386,0.7205111493938646,-1.8553627173899057,False,0.9416493861972242,45,7,45,9,1.0650793618552734,0.9131154534171522,74.24443512903167,-99.12042617797852,173.3648613070102,1.0650793618552734,0.9131154534171521,650.7936185527342,-868.8454658284791,1519.6390843812133
