accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
Redeia,Chronos2,0.0,0.0,41.010502576828,0.0014227451359915002,5
Redeia,DeepAR,1923.7591619491577,0.0067240142624938,140.42605423927307,0.0017209940389255,5
Redeia,HistGradientBoostingRegressor,518.8693778514862,0.0017438773376834,1.7577872276306152,0.0008894142133632,5
Redeia,KNeighborsRegressor,72.63062977790833,0.0005396785122382948,1.9853584766387937,0.0008946755181879,5
Redeia,Lasso,85.60841822624207,0.0006251056077848,0.2221181392669676,0.0008796285065222,5
Redeia,LinearRegression,56.418232917785645,0.00041364469597954874,0.2185025215148924,0.0008840230234208,5
Redeia,PatchTST,1336.9455451965332,0.0044190156958977,175.74819707870483,0.0018413319501776,5
Redeia,RandomForestRegressor,1283.6736552715302,0.0033487028835954002,3.33636736869812,0.0008804580357843,5
Redeia,Ridge,64.90934538841248,0.0004997540293112341,0.2187883853912351,0.0008745145936255,5
Redeia,TemporalFusionTransformer,3343.572612762451,0.0112567933429445,156.1558120250702,0.0017765827177342,5
