accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
Acciona Energía,Chronos2,0.0,0.0,14.86431336402893,0.000556454331436,5
Acciona Energía,DeepAR,1853.7330100536346,0.0064205484456946,27.306100606918335,0.0005840062223027,5
Acciona Energía,HistGradientBoostingRegressor,215.60136437416077,0.001112925989578,0.6631560325622557,0.0003521116963036733,5
Acciona Energía,KNeighborsRegressor,60.83151960372925,0.0005268663492612915,0.4205105304718015,0.0003559504708297738,5
Acciona Energía,Lasso,46.49870777130127,0.0004686037264596551,0.08892846107482891,0.0003487775467967458,5
Acciona Energía,LinearRegression,26.225095510482788,0.0003018579165588223,0.0857908725738523,0.00035265408520422257,5
Acciona Energía,PatchTST,1275.2739493846893,0.0042316579984285,31.81302785873413,0.000598412893228,5
Acciona Energía,RandomForestRegressor,363.80173683166504,0.0012806830964269,1.343682289123535,0.00035012451923298294,5
Acciona Energía,Ridge,31.9410400390625,0.00037655314995346865,0.0866143703460691,0.00034969380775075597,5
Acciona Energía,TemporalFusionTransformer,3081.580466270447,0.0103916831765306,78.09076118469238,0.0007548699242707,5
