modelo,training_time,train_emissions,inference_time,inference_emissions
Chronos2,0.0,0.0,37.64851463862828,0.0013507139212400258
DeepAR,1915.1562057495116,0.006669940314286663,114.59045952388219,0.0015748207681310087
HistGradientBoostingRegressor,529.3861246381488,0.0017676630072522629,1.650179440634591,0.0008428118482617772
KNeighborsRegressor,67.76054136412485,0.0005123489051434343,1.7195910590035572,0.0008493857945117913
Lasso,80.22467963354929,0.0005909341596887971,0.21535809380667525,0.0008371736763477057
LinearRegression,55.000265393938335,0.00040593506914202,0.20739256995064848,0.00083732964998962
PatchTST,1318.6883465903145,0.004366598165028417,148.8683603014265,0.0016864033482701028
RandomForestRegressor,1051.9740005765643,0.002877542225346097,3.205587121418544,0.0008417195978948342
Ridge,61.90992320605687,0.00048065105815846287,0.21019387245178198,0.0008377337734411886
TemporalFusionTransformer,3323.6926694733756,0.011174449417687499,202.6930406706674,0.0018694048247495686
