Modelo,N_acciones,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,ES_RENTABLE
pred_TemporalFusionTransformer,35,0.5125074798802824,0.751654880975516,2.5045183379591816,2.3851943721902487,2.3384599595722912,0.503899097943401,-6.665743143566203,0.570506973395716,-3.385937139116448,0.6200667864081183,26.02638888888889,21.019444444444442,28.65138888888889,25.12777777777778,1.0546460526061812,1.1147880622822406,58.20062330430499,1.0546460526061812,1.1147880622822406,546.4605260618108,False
pred_PatchTST,35,0.7197046773106629,0.9180867575419465,3.419286924585018,2.5495271584454144,2.3910509951966588,0.4931286836830952,-8.668977878872056,0.538943399993769,-3.792790693909345,0.6290334367277333,25.84722222222222,21.19861111111111,29.45138888888889,24.327777777777776,1.0455117267848655,1.1147880622822406,96.87922267188856,1.0455117267848655,1.1147880622822406,455.1172678486537,False
pred_DeepAR,35,1.0772018391162963,1.3469494346833724,4.7701576429343175,3.655283105575418,3.530227741972048,0.49868112051497726,-9.027099764152451,0.5450954518083574,-3.5779078059039002,0.2681133035190683,29.637500000000003,17.408333333333335,32.606944444444444,21.172222222222224,1.0676891767560708,1.1147880622822406,140.31573220345985,1.0676891767560708,1.1147880622822406,676.8917675607071,False
pred_Chronos2,35,0.2991776477920733,0.48455504114894815,1.3749644456362469,1.3373395503608065,1.3131345952605562,0.5101709574169745,-3.165295700683198,0.6099341928744739,-3.2651027582375374,0.8608829746470604,20.241666666666667,26.804166666666667,22.145833333333332,31.633333333333333,1.07590475777494,1.1147880622822406,4.56549703859649,1.07590475777494,1.1147880622822406,759.0475777494001,False
pred_KNeighborsRegressor,35,2.4134118915818243,2.9122630991754286,11.221690498252254,9.493708255179433,9.417350404891188,0.4967545057514832,-8.566704422171084,0.5569884113007202,-3.5876694320258906,-2.2337816310568877,29.30277777777778,17.743055555555557,32.71805555555555,21.061111111111114,1.0576656267088336,1.1147880622822406,128.4004681410611,1.0576468757276016,1.1147880622822406,576.4687572760165,False
pred_HistGradientBoostingRegressor,35,1.7678519535648285,2.1589753827397686,7.462577951242281,6.304880555787542,6.1399752614797825,0.49090219054269546,-8.729452922024413,0.5451733621304269,-3.66802465816511,-1.087827214506806,28.845833333333335,18.200000000000003,32.704166666666666,21.075000000000003,1.0570986105032256,1.1147880622822406,90.98466522687083,1.0570986105032256,1.1147880622822406,570.986105032257,False
pred_RandomForestRegressor,35,1.7137678164592294,2.093774143396179,7.730281676426064,6.561185879920647,6.420448835490117,0.4938040572430912,-8.939717643677362,0.5545661959754593,-3.6615153349496654,-1.0401582483608427,28.772222222222222,18.273611111111112,32.329166666666666,21.45,1.0576479114844561,1.1147880622822406,87.80916759174394,1.0576479114844561,1.1147880622822406,576.4791148445632,False
pred_LinearRegression,35,2.9415214021671665,3.5085643694318542,13.994011694181303,13.02327871368464,12.397509659143132,0.49098528402137187,-10.037107193840377,0.5289067109267681,-3.8718637145307286,-5.655004038354772,30.28472222222222,16.76111111111111,34.09861111111111,19.680555555555557,1.0366458268235903,1.1147880622822406,62.83730241100906,1.0366458268235903,1.1147880622822406,366.4582682359039,False
pred_Ridge,35,2.4427696013125533,2.897800108607652,10.536044758347886,8.64396094855751,8.640599970233671,0.49307199372871313,-9.515781980400451,0.5398710875475661,-3.727950251389741,-2.279286692784825,26.077777777777776,20.968055555555555,29.809722222222224,23.969444444444445,1.0517837935618888,1.1147880622822406,85.30313598965543,1.0517837935618888,1.1147880622822406,517.8379356188873,False
pred_Lasso,35,0.42109727471368086,0.5878222836964322,1.822414788142017,1.7353351801089751,1.6429133043853565,0.49173292556079773,-7.880118337295453,0.5995499220057774,-3.4217726075369725,0.7620530034986907,26.976388888888888,20.069444444444443,30.752777777777776,23.02638888888889,1.0664909913859715,1.1147880622822406,105.88123976513731,1.0664909913859715,1.1147880622822406,664.9099138597156,False
