accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
Ferrovial,Chronos2,0.0,0.0,39.57730579376221,0.0014245797533546,5
Ferrovial,DeepAR,1922.0634098052979,0.0067116143361502,142.71981143951416,0.0017365063917527,5
Ferrovial,HistGradientBoostingRegressor,605.3488142490387,0.0019334619348516,1.6763353347778318,0.0008938117353776,5
Ferrovial,KNeighborsRegressor,70.10058569908142,0.0005102076954725614,2.165149211883545,0.0008995699433672,5
Ferrovial,Lasso,80.33980798721313,0.0005742844715831889,0.2296752929687498,0.0008837744699633,5
Ferrovial,LinearRegression,56.40471601486207,0.00041250239078298814,0.21949601173400868,0.0008885602583163,5
Ferrovial,PatchTST,1310.490564584732,0.0043611593007413,180.21734261512756,0.0018647876887542,5
Ferrovial,RandomForestRegressor,877.5862202644348,0.0024941821421183,3.3819804191589355,0.0008927252771555,5
Ferrovial,Ridge,64.85121035575867,0.0004966409150894449,0.2240378856658933,0.0008889100091376,5
Ferrovial,TemporalFusionTransformer,3690.5679178237915,0.0124727392552718,240.0521957874298,0.002068992937406,5
