accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
ArcelorMittal,Chronos2,0.0,0.0,43.608970642089844,0.0014409476093637,5
ArcelorMittal,DeepAR,1912.8166115283966,0.0067220102204819995,146.99063396453857,0.0017553112519501,5
ArcelorMittal,HistGradientBoostingRegressor,570.3496487140656,0.0018884489953483,1.6556432247161863,0.0008931324934291,5
ArcelorMittal,KNeighborsRegressor,65.98884129524231,0.0004915571743719945,1.927717685699463,0.0009018868439786,5
ArcelorMittal,Lasso,85.24673914909363,0.0006226460882258888,0.22338390350341758,0.0008966027479732,5
ArcelorMittal,LinearRegression,63.58206796646118,0.0004616220015467165,0.2160108089447019,0.0008896932139287,5
ArcelorMittal,PatchTST,1343.7395057678223,0.0044758439805369,138.74877667427063,0.0017231973055763,5
ArcelorMittal,RandomForestRegressor,1124.127371788025,0.0030745378731862,3.3457274436950684,0.0008957456936782,5
ArcelorMittal,Ridge,59.93640184402466,0.00044290513144761067,0.2194654941558834,0.0008926688321612,5
ArcelorMittal,TemporalFusionTransformer,3646.6603529453278,0.0123668743602022,271.8839693069458,0.0021826000985455,5
