accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
Bankinter,Chronos2,0.0,0.0,38.65366816520691,0.0014203655039447,5
Bankinter,DeepAR,1936.4928538799286,0.006770983520012,80.42903113365173,0.001517660823556,5
Bankinter,HistGradientBoostingRegressor,458.9733099937439,0.001609613958695,1.6997466087341306,0.0008877352334252,5
Bankinter,KNeighborsRegressor,68.61119723320007,0.0005062098669066181,1.6908812522888181,0.0008958232786644999,5
Bankinter,Lasso,80.86850786209106,0.0005865721307240986,0.22731232643127408,0.0008902792880088,5
Bankinter,LinearRegression,56.633591175079346,0.00040865126076527743,0.2215719223022459,0.000891419053292,5
Bankinter,PatchTST,1312.7836892604828,0.004350929069544,151.08975219726562,0.0017616485665937,5
Bankinter,RandomForestRegressor,991.0016093254089,0.0026957637842524,3.4036786556243896,0.0008909735535617,5
Bankinter,Ridge,64.86138486862183,0.00048011979213554335,0.22458648681640592,0.0008867857827126,5
Bankinter,TemporalFusionTransformer,3117.676837682724,0.010510671700002201,160.6120445728302,0.0018008489170826,5
