accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
Inditex,Chronos2,0.0,0.0,37.93046426773071,0.0014088783886357,5
Inditex,DeepAR,1932.5999710559845,0.0067327586343905,121.74534034729004,0.0016585628488389,5
Inditex,HistGradientBoostingRegressor,361.7820551395416,0.0013920191789296,1.886908769607544,0.0008824017967294,5
Inditex,KNeighborsRegressor,68.80406928062439,0.0005505769450347182,1.9314320087432861,0.0008902083135092,5
Inditex,Lasso,85.63785028457642,0.0006371157332022649,0.2299475669860838,0.0008771765140177001,5
Inditex,LinearRegression,56.612353563308716,0.00041842594160865335,0.2169086933135984,0.0008819891741644,5
Inditex,PatchTST,1292.9404163360596,0.0042679659733569995,124.85104846954346,0.0016649690994927,5
Inditex,RandomForestRegressor,985.3042652606964,0.0027497793662811998,3.391024589538574,0.0008826454315995,5
Inditex,Ridge,64.71598815917969,0.0004960452964438587,0.22053384780883772,0.0008831716079802,5
Inditex,TemporalFusionTransformer,3511.432936191559,0.0117523758091171,230.51633977890015,0.0020187132948684,5
