Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.4899037091722187,0.6052462204502929,2.020863371192988,2.0507394237133134,2.040053109849772,0.4722222222222222,-16.198854229927072,0.36354555309696135,-5.608865546390585,False,0.8986279824173766,50,0,56,1,1.0088565788219945,1.2554233725051185,19.58033037350151,564.6959304809575,-545.115600107456,1.0088565788219948,1.2554233725051185,88.56578821994663,2554.2337250511846,-2465.667936831238
pred_PatchTST,0.6071937044662405,0.7390429098202531,2.4875077915941626,2.4693601242224865,2.5284711707338947,0.46296296296296297,-8.035273753166194,0.5979593493004706,-3.028228888965184,False,0.8488551939252656,11,39,18,39,1.2030228016392797,1.2554233725051185,448.847530107083,564.6959304809575,-115.84840037387448,1.2030228016392812,1.2554233725051185,2030.2280163928117,2554.2337250511846,-524.0057086583729
pred_DeepAR,1.2863219201036333,1.574845307430526,5.159209388855471,5.3559807990981385,5.356491457901697,0.5,-14.626888162612932,0.38885651353938616,-5.157663871051478,False,0.3136751569185484,46,4,49,8,1.0429329680346904,1.2554233725051185,94.91720391473882,564.6959304809575,-469.77872656621867,1.0429329680346906,1.2554233725051185,429.32968034690566,2554.2337250511846,-2124.904044704279
pred_Chronos2,0.30647443066790603,0.3827284406259287,1.2681071242565944,1.271742225886856,1.2762183744840996,0.5092592592592593,-9.623949231147783,0.2312421119343942,-7.714238849829254,False,0.9594645134834124,23,27,25,32,1.207490344542938,1.2554233725051185,458.7244778280451,564.6959304809575,-105.97145265291238,1.2074903445429377,1.2554233725051185,2074.903445429378,2554.2337250511846,-479.33027962180677
pred_KNeighborsRegressor,1.7428535115881678,2.29812148038192,6.873222965859682,7.23783702355415,7.25757666202553,0.48148148148148145,-12.813141338348384,0.4604907862022952,-4.381862847552157,False,-0.46150357555422983,30,20,35,22,1.0859258948233368,1.2554233725051185,189.966966036754,564.6959304809575,-374.7289644442035,1.0859258948233368,1.2554233725051185,859.2589482333678,2554.2337250511846,-1694.9747768178167
pred_HistGradientBoostingRegressor,0.5816675549473067,0.8732116566688194,2.287278181120228,2.331314834164228,2.422175382942084,0.46296296296296297,-11.753409669876094,0.42759144955451694,-4.806986692731883,False,0.7889948928087006,25,25,32,25,1.0962653938496312,1.2554233725051185,212.825770875545,564.6959304809575,-351.8701596054125,1.0962653938496316,1.2554233725051185,962.6539384963162,2554.2337250511846,-1591.5797865548684
pred_RandomForestRegressor,0.6407182887795743,0.9874846086709942,2.4987533803990702,2.561694512132073,2.6680739767636714,0.49074074074074076,-7.626901927947998,0.5695123710049983,-3.2027695215493566,False,0.7301548675370162,32,18,36,21,1.1756476417166677,1.2554233725051185,388.3258900827168,564.6959304809575,-176.3700403982407,1.1756476417166684,1.2554233725051185,1756.476417166683,2554.2337250511846,-797.7573078845016
pred_LinearRegression,2.1862314439784787,3.058740834504944,8.62502265194897,9.366902331461818,9.103887504088673,0.5,-11.402173355102553,0.49096412541925105,-3.983881981658869,False,-1.589043098809487,40,10,43,14,1.1046261397478516,1.2554233725051185,231.30990229314193,564.6959304809575,-333.38602818781555,1.1046261397478516,1.2554233725051185,1046.2613974785163,2554.2337250511846,-1507.9723275726683
pred_Ridge,1.1537132110063775,1.5287599072176874,4.639817429341213,4.7387222809493545,4.80428333144328,0.49074074074074076,-10.335787153244043,0.516830075941928,-3.7228311389169226,False,0.3532558827688811,24,26,28,29,1.1211407602348662,1.2554233725051185,267.82080922773594,564.6959304809575,-296.87512125322155,1.121140760234866,1.2554233725051185,1211.4076023486596,2554.2337250511846,-1342.826122702525
pred_Lasso,0.33470592663702264,0.42898295028052136,1.367654208150793,1.3787417242463897,1.393779744339459,0.49074074074074076,-10.964088641166697,0.38725924325366173,-5.4721057627567005,False,0.9490746548158261,50,0,54,3,1.029865951942081,1.2554233725051185,66.02834093146657,564.6959304809575,-498.6675895494909,1.029865951942081,1.2554233725051185,298.6595194208094,2554.2337250511846,-2255.574205630375
