accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
Naturgy,Chronos2,0.0,0.0,40.86028170585632,0.0014260214429713,5
Naturgy,DeepAR,1963.6742861270905,0.0069947163639731,131.34570789337158,0.0016977666837203,5
Naturgy,HistGradientBoostingRegressor,457.3056130409241,0.0015852240694581,1.815685749053955,0.0008860021657633,5
Naturgy,KNeighborsRegressor,71.13810157775879,0.0005089934125139327,1.8144729137420652,0.0008941940535946,5
Naturgy,Lasso,91.11481261253357,0.0006810732942812,0.2240152359008788,0.0008731097419721,5
Naturgy,LinearRegression,55.339812994003296,0.00041721631965044406,0.2168529033660886,0.0008865295673051,5
Naturgy,PatchTST,1324.9819984436035,0.0043949744987564,174.89492869377136,0.0018396799804021,5
Naturgy,RandomForestRegressor,1175.3257765769958,0.0031800054340292002,3.362732172012329,0.0008869578099971001,5
Naturgy,Ridge,64.38700413703918,0.00047420215442167923,0.22003173828124972,0.0008836280174993,5
Naturgy,TemporalFusionTransformer,3432.843903541565,0.011562410965465,211.94856071472168,0.0019666807229559,5
