accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
Grifols,Chronos2,0.0,0.0,37.9271445274353,0.0014135592601639,5
Grifols,DeepAR,1894.8188021183014,0.006547648165540499,117.25704336166382,0.0016449212900065,5
Grifols,HistGradientBoostingRegressor,533.4903874397278,0.0017619532737918,1.7413434982299802,0.0008904494017242,5
Grifols,KNeighborsRegressor,70.4639048576355,0.000529936286989,1.7843234539031982,0.0008919682348318,5
Grifols,Lasso,77.53149080276489,0.0005424010963958667,0.2283201217651365,0.0008793229617628,5
Grifols,LinearRegression,60.49654817581177,0.0004325307433024646,0.2208771705627439,0.0008803402709144,5
Grifols,PatchTST,1276.5566055774689,0.0042192108371802,128.5566165447235,0.0016747758548519,5
Grifols,RandomForestRegressor,1102.9013996124268,0.0030312554695788,3.37559175491333,0.0008826750095177001,5
Grifols,Ridge,66.31437158584595,0.0004973560553339637,0.2232134342193601,0.0008783188946937,5
Grifols,TemporalFusionTransformer,3306.9872415065765,0.0110979294289739,228.42323064804077,0.002016613169514,5
