accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
CaixaBank,Chronos2,0.0,0.0,40.879886627197266,0.0014298985180596,5
CaixaBank,DeepAR,1933.6312890052795,0.0067541895456598,111.62549829483032,0.0016361993124544998,5
CaixaBank,HistGradientBoostingRegressor,605.2380223274231,0.0019492945369127999,1.7143082618713377,0.0008953657293541,5
CaixaBank,KNeighborsRegressor,68.06446671485901,0.0005045495207419625,1.7054483890533445,0.0008966641419881,5
CaixaBank,Lasso,80.40496754646301,0.0005563294476163043,0.2300295829772947,0.0008892511447256,5
CaixaBank,LinearRegression,57.996074199676514,0.00041355306250884574,0.2183535099029538,0.0008847503617913,5
CaixaBank,PatchTST,1305.8254029750824,0.0043397377677325995,149.40714144706726,0.0017578073898385999,5
CaixaBank,RandomForestRegressor,1333.3697707653046,0.0035491884311202,3.391341209411621,0.0008864154991872,5
CaixaBank,Ridge,60.98170280456543,0.00045964564729753015,0.2225129604339597,0.0008857264591938,5
CaixaBank,TemporalFusionTransformer,2962.4103813171387,0.009969352555686,205.85994839668274,0.001953466006958,5
